dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
cnae-9_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p70,SSKISOMAP,closeness,70,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p80,SSKISOMAP,closeness,80,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p90,SSKISOMAP,closeness,90,,,,,,
cnae-9_norm,SSKISOMAP_closeness_centrality_p100,SSKISOMAP,closeness,100,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p10,SSKISOMAP,eigenvector,10,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p20,SSKISOMAP,eigenvector,20,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p60,SSKISOMAP,eigenvector,60,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p70,SSKISOMAP,eigenvector,70,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p80,SSKISOMAP,eigenvector,80,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p90,SSKISOMAP,eigenvector,90,,,,,,
cnae-9_norm,SSKISOMAP_eigenvector_centrality_p100,SSKISOMAP,eigenvector,100,,,,,,
cnae-9_norm,KISOMAP,KISOMAP,,,0.9857770740629521,0.02161496184926761,0.7516628162878759,0.8518422790026203,0.5227636760543373,0.24511903293043008
cnae-9_norm,UMAP,UMAP,,,1.0,0.05085333154007963,1.0,1.0,0.23192808446840835,0.37096205885267963
cnae-9_norm,TSNE,TSNE,,,0.9947585378504546,0.018902357053888416,0.8531959243265854,0.9243715777657578,0.36386526579746464,0.1800207672240182
cnae-9_norm,LLE,LLE,,,0.48273320411673176,0.003705397172011827,0.4055709419977374,0.4389535377359595,0.4403593985900895,0.6963396997137901
cnae-9_norm,SE,SE,,,0.9646474297725971,0.08058525336279403,0.7707277102653474,0.8862736045836619,0.28773310302995325,0.27553740005129007
cnae-9_norm,KPCA,KPCA,,,0.3991974011083509,1.0,0.38281062145760353,0.3497827757739113,0.13043147442578024,0.53212706473784
cnae-9_norm,LDA,LDA,,,0.03259534274248585,0.00626146160598527,0.46536828026516797,0.05991377840885171,0.1163207272175411,0.9973657381048444
cnae-9_norm,PLS,PLS,,,0.1265867707679288,0.008252211286076366,0.40434717344094445,0.09863827188370895,0.1680239813143092,0.5979350018645468
