dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
newton_hema_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.0816326530612241,0.1988920223887164,0.09885037176956306,0.05446438234514547,0.3850416296249212,0.40315114907597416
newton_hema_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,0.734693877551021,0.24648103545457783,0.4259881284433404,0.5109804577658877,0.3036727668403511,0.4955416375525193
newton_hema_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,0.005102040816325989,0.14269345708616357,0.0027987468085368832,0.003215850380082103,0.504240940811918,0.3377475701829824
newton_hema_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,0.0816326530612241,0.17811270330040155,0.160223072966062,0.057866593503718707,0.34111342118985355,0.4367755422516122
newton_hema_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,0.001275510204081153,0.17975515588648536,0.0,0.0008032103963323085,0.44458384380322385,0.40881507284063606
newton_hema_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,0.06249999999999992,0.10383642855645299,0.6037187363456746,0.08087145084061996,0.1858881574920435,0.2901335092779385
newton_hema_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,0.03188775510204053,0.20152740378247636,0.05212108110404776,0.02078798469087407,0.408949091382628,0.43898969674794197
newton_hema_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,0.020408163265306024,0.1001062654424748,0.6589060238066194,0.02994229271431476,0.17600713861672657,0.31641774920519483
newton_hema_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,0.0,0.05250181072733022,0.8048944133617998,0.0,0.10343980718954784,0.24078358450438747
newton_hema_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,0.0,0.0613655624418785,0.8048944133617998,0.0,0.09237694879824043,0.27784409324890597
newton_hema_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,0.0816326530612241,0.1988920223887164,0.09885037176956306,0.05446438234514547,0.3850416296249212,0.40315114907597416
newton_hema_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,0.2869897959183669,0.19227182662605066,0.14108751899304153,0.18254415090655224,0.4015218131964346,0.4063784167125562
newton_hema_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,0.21556122448979612,0.19174663659383098,0.10644337292134845,0.13684058331655335,0.39486880012943626,0.4122836699898981
newton_hema_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,0.06249999999999992,0.15907788075298632,0.5575381778443301,0.07471485567842087,0.25583023581899583,0.44239532611487187
newton_hema_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,0.5625000000000006,0.17014188337984806,0.3201012133153695,0.3783308953833354,0.4113101332703105,0.4062016170741275
newton_hema_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,0.12755102040816352,0.13681252038623615,0.15908131973969447,0.0885236048422282,0.35324600362277014,0.38099654194066274
newton_hema_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,0.001275510204081153,0.04974713263434541,0.7788971271931602,0.002455366187791494,0.12492385538153654,0.21967059203310368
newton_hema_norm,SSKISOMAP_closeness_centrality_p70,SSKISOMAP,closeness,70,0.0,0.04603787034409684,0.8048944133617998,0.0,0.11619034699548754,0.220239028074316
newton_hema_norm,SSKISOMAP_closeness_centrality_p80,SSKISOMAP,closeness,80,0.06249999999999992,0.1689158677035191,0.037172421430054545,0.03968779795656398,0.43764381436879285,0.40445461875918887
newton_hema_norm,SSKISOMAP_closeness_centrality_p90,SSKISOMAP,closeness,90,0.10331632653061196,0.1140549271356184,0.445873650435066,0.10198120885943672,0.3776333681905445,0.2862672420472357
newton_hema_norm,SSKISOMAP_closeness_centrality_p100,SSKISOMAP,closeness,100,0.0,0.0613655624418785,0.8048944133617998,0.0,0.09237694879824043,0.27784409324890597
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p10,SSKISOMAP,eigenvector,10,0.734693877551021,0.2342474371987034,0.4259881284433404,0.5109804577658877,0.29481374579523606,0.4828132098429288
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p20,SSKISOMAP,eigenvector,20,0.0816326530612241,0.15685277802019962,0.13750139435231232,0.0565581368188336,0.39369941017026744,0.3917413088335009
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,0.10331632653061196,0.13347440430527333,0.13720630667542516,0.07089521241913851,0.42089085388137715,0.3763967408127686
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,0.10331632653061196,0.14385754160599604,0.13720630667542516,0.07089521241913851,0.4050503501602819,0.39650747957142063
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,0.21556122448979612,0.13967344137843438,0.15454442958621492,0.14331499704254969,0.4062422031013063,0.39419735433491804
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p60,SSKISOMAP,eigenvector,60,0.4132653061224492,0.0,0.2933564110389602,0.28998349231794374,1.0,0.0
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p70,SSKISOMAP,eigenvector,70,0.001275510204081153,0.1531793107232612,0.0,0.0008032103963323085,0.4841209039681904,0.3745448967621803
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p80,SSKISOMAP,eigenvector,80,0.0,0.16417225916009567,0.010352696445403766,0.0,0.4651008703479354,0.3937706841219481
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p90,SSKISOMAP,eigenvector,90,0.020408163265306024,0.11018668256295236,0.6589060238066194,0.02994229271431476,0.15965359917736016,0.34093274834187093
newton_hema_norm,SSKISOMAP_eigenvector_centrality_p100,SSKISOMAP,eigenvector,100,0.0816326530612241,0.1988920223887164,0.09885037176956306,0.05446438234514547,0.3850416296249212,0.40315114907597416
newton_hema_norm,KISOMAP,KISOMAP,,,0.6747448979591834,0.244741317204332,0.5743887208969595,0.4636343623786629,0.5272331803013094,0.4833129386437581
newton_hema_norm,UMAP,UMAP,,,0.0816326530612241,0.31932894074703544,1.0,0.3219337105451265,0.042403889155586974,1.0
newton_hema_norm,TSNE,TSNE,,,0.5625000000000006,0.31624854806141983,0.27471493955528686,0.3605731182303289,0.2786696699607482,0.5506636973229946
newton_hema_norm,LLE,LLE,,,0.001275510204081153,0.26625982382559144,0.01503372080826595,0.0008140406684363161,0.2057872028899882,0.5752405497954863
newton_hema_norm,SE,SE,,,0.020408163265306024,0.29262604247557633,0.02894354581534421,0.013086736850033075,0.3188591630685974,0.5947579114309879
newton_hema_norm,KPCA,KPCA,,,0.10331632653061196,0.2300609506769284,0.5743887208969595,0.12429626127839637,0.25752911201322154,0.5958634928474139
